Location,Latitude,Longitude,Year surveyed,# Ponds,Taxa Surveyed,# Species in original survey,Historical reference,Collaborator/contact
California (USA)--North/Central,40°48′07″N,124°09′49″W,1992,58,Crustaceans,67,King et al. 1996,Kneitel
California (USA)--South,32°42′54″N,117°09′45″W,1994,70,Crustaceans,27,"Simovich et al., 1995",Kneitel
Michigan (USA),41°41' N,82°7' W,1993,31,"Crustaceans, rotifers",52,Leibold 1999,Leibold
Michigan (USA),48°18' N,90°25′ W,2000,44,"Crustaceans, rotifers",74,Leibold et al. 2017,Leibold
Michigan (USA),41°41' N,90°25′ W,1998,18,"Crustaceans, rotifers",79,Steiner 2004,Steiner
Belgium,50°51′N,4°21′E,2003,116 (38 resampled in 2013),"Crustaceans, rotifers",121,Lemmens et al. 2017,De Meester
Illinois (USA),41°52′55″N,87°37′40″W,1997-1999,13,Crustaceans,29,Jenkins et al. 2003,Jenkins
Spain (Empordà),42° 4′ 55″ N,3° 4′ 19″ E,"1991 (1996, 2000)",84,Crustaceans,125,Martinoy et al. 2006,Gascon
Spain (Catalunya),41°23′N,2°11′E,2003,91,Crustaceans,78,Boix et al. 2008,Gascon
Spain (Valencia),39°28′12″N,00°22′35″W,2005-2007,8,"Crustaceans, rotifers",97,Anton-Pardo et al. 2016,Anton-Pardo
Spain (Cuenca),40°4′N,2°9′W,1993-1993,28,"Crustaceans, rotifers",86,Armengol and Miracle 1999,Armengol
Spain (Castilla-La Mancha),39°52′N,4°01′W,1997-1998,44,Crustaceans,44,Boronat et al. 2001,Armengol
Costa Rica and Nicaragua,9°56′N,84°5′W,2010-2011,30,"Crustaceans, rotifers",zooplankton data unpublished,Gálvez et al. 2020,Armengol
Spain (Valencia),39°28′12″N,00°22′35″W,early 1990s (resurveyed 2013),20+,"Crustaceans, rotifers",,unpublished,Armengol
Maryland (USA),37° 53′ N,75° 03′ W,2011,21,"Crustaceans, rotifers",67,Sokol et al. (2014),Swan
Switzerland,46°57′N,7°27′E,2011,20,Crustaceans,34,Horvath et al. 2017,Matthews
United Kingdom,53°24′27″N,02°59′31″W,1990s,100s,"Crustaceans, rotifers",,https://freshwaterhabitats.org.uk/,Biggs
South Africa (Korannaberg),-28.87539786,27.22654022,"1993, 2015",,,,,Vanschoenwinkel
France (Camargue),43°32′N,04°30′E,2005-2006,30,Crustaceans,19,Waterkeyn et al. 2008,Vanschoenwinkel
Zimbabwe,17°50′S,31°3′E,2007,29,Crustaceans,16,Nhiwatiwa et al. 2011,Vanschoenwinkel
Hungary (Kiskunság),N47°07’5.944”,E19°06’39.316”,2005-2006,82,Crustaceans,,Boven et al. 2008,Vanschoenwinkel
Austria (saline ponds),48°12′N,16°21′E,"1957, 2010",55 (30 in 2010),"Crustaceans, rotifers",64,Horvath et al. 2019,Horvath
Hungary (bomb crater ponds),N47°07’5.944”,E19°06’39.316”,2014,54,"Crustaceans, rotifers",74,Vad et al 2017,Horvath
"Austria, Hungary, Serbia (saline ponds)",46.7176084,17.47832003,2010,110,"Crustaceans, rotifers",157,Toth et al 2014,Horvath
"Austria, Germany (alps)",47.61390377,10.3591796,2011,34,Crustaceans,,Horvath et al. 2017,Horvath
Spain (Doñana),37°00′N,6°30′W,2004,40,Crustaceans,39,Frisch et al. 2016,Frisch
Germany,52° 31′ 12″ N,13°24′18″E,1994,5,"Crustaceans, rotifers",,Frisch (unpublished),Frisch
Hungary,47°26′N,19°15′E,2010,23,Crustaceans,53,Vad et al 2012,Horvath
United Kingdom (Norfolk),52° 40′ 0″ N,1° 0′ 0″ E,2012,38,Cladocerans,21,Stefanoudis et al. 2017,Sayer
United Kingdom (Norfolk),52° 40′ 0″ N,1° 0′ 0″ E,1999,29,Cladocerans,24,Davidson et al. 2007,Sayer
